time,datapoint,units
171,60156139.19,mm
172,61219734.39,mm
173,62295792.99,mm
174,63384387.59,mm
175,64485590.79,mm
176,65599475.19,mm
177,66726113.39,mm
178,67865577.99,mm
179,69017941.59,mm
180,70183276.79,mm
181,71361656.19,mm
182,72553152.39,mm
183,73757837.99,mm
184,74975785.59,mm
185,76207067.79,mm
186,77451757.19,mm
187,78709926.39,mm
188,79981647.99,mm
189,81266994.59,mm
190,82566038.79,mm
191,83878853.19,mm
192,85205510.39,mm
193,86546082.99,mm
194,87900643.59,mm
195,89269264.79,mm
196,90652019.19,mm
197,92048979.39,mm
198,93460217.99,mm
199,94885807.59,mm
200,96325820.79,mm
201,97780330.19,mm
202,99249408.39,mm
203,100733127.99,mm
204,102231561.59,mm
205,103744781.79,mm
206,105272861.19,mm
207,106815872.39,mm
208,108373887.99,mm
209,109946980.59,mm
210,111535222.79,mm
211,113138687.19,mm
212,114757446.39,mm
213,116391572.99,mm
214,118041139.59,mm
215,119706218.79,mm
216,121386883.19,mm
217,123083205.39,mm
218,124795257.99,mm
219,126523113.59,mm
220,128266844.79,mm
221,130026524.19,mm
222,131802224.39,mm
223,133594017.99,mm
224,135401977.59,mm
225,137226175.79,mm
226,139066685.19,mm
227,140923578.39,mm
228,142796927.99,mm
229,144686806.59,mm
230,146593286.79,mm
231,148516441.19,mm
232,150456342.39,mm
233,152413062.99,mm
234,154386675.59,mm
235,156377252.79,mm
236,158384867.19,mm
237,160409591.39,mm
238,162451497.99,mm
239,164510659.59,mm
240,166587148.79,mm
241,168681038.19,mm
242,170792400.39,mm
243,172921307.99,mm
244,175067833.59,mm
245,177232049.79,mm
246,179414029.19,mm
247,181613844.39,mm
248,183831567.99,mm
249,186067272.59,mm
250,188321030.79,mm
251,190592915.19,mm
252,192882998.39,mm
253,195191352.99,mm
254,197518051.59,mm
255,199863166.79,mm
256,202226771.19,mm
257,204608937.39,mm
258,207009737.99,mm
259,209429245.59,mm
260,211867532.79,mm
261,214324672.19,mm
262,216800736.39,mm
263,219295797.99,mm
264,221809929.59,mm
265,224343203.79,mm
266,226895693.19,mm
267,229467470.39,mm
268,232058607.99,mm
269,234669178.59,mm
270,237299254.79,mm
271,239948909.19,mm
272,242618214.39,mm
273,245307242.99,mm
274,248016067.59,mm
275,250744760.79,mm
276,253493395.19,mm
277,256262043.39,mm
278,259050777.99,mm
279,261859671.59,mm
280,264688796.79,mm
281,267538226.19,mm
282,270408032.39,mm
283,273298287.99,mm
284,276209065.59,mm
285,279140437.79,mm
286,282092477.19,mm
287,285065256.39,mm
288,288058847.99,mm
289,291073324.59,mm
290,294108758.79,mm
291,297165223.19,mm
292,300242790.39,mm
293,303341532.99,mm
294,306461523.59,mm
295,309602834.79,mm
296,312765539.19,mm
297,315949709.39,mm
298,319155417.99,mm
299,322382737.59,mm
300,325631740.79,mm
